epoch,AUC,accuracy,loss,val_AUC,val_accuracy,val_loss
0,0.5018448829650879,0.5017954111099243,0.7165994644165039,0.5058438181877136,0.5064957737922668,0.7476298213005066
1,0.5016771554946899,0.5004658102989197,0.7148930430412292,0.5012927055358887,0.5056179761886597,0.744930624961853
2,0.5027194619178772,0.5010772347450256,0.7137845158576965,0.5008811354637146,0.4989466369152069,0.74276202917099
3,0.5032175779342651,0.5004076361656189,0.7131609916687012,0.5031516551971436,0.503686785697937,0.7413783669471741
4,0.505113959312439,0.5019506812095642,0.7125544548034668,0.5006023645401001,0.5017555952072144,0.7413766384124756
5,0.5058870315551758,0.501902163028717,0.7121545076370239,0.5018930435180664,0.5026334524154663,0.7406761050224304
6,0.5020720958709717,0.49069294333457947,0.7073530554771423,0.5046100616455078,0.5284410119056702,0.6992520093917847
7,0.5027677416801453,0.48793673515319824,0.7041884660720825,0.5014342665672302,0.5219452381134033,0.7095896601676941
8,0.5115042328834534,0.48279309272766113,0.6986526250839233,0.4984179735183716,0.5245786309242249,0.7055773138999939
9,0.5212727189064026,0.48037654161453247,0.6946585774421692,0.4954364001750946,0.5280898809432983,0.7006132006645203
10,0.5278511047363281,0.47900813817977905,0.6925001740455627,0.49542510509490967,0.5282654762268066,0.6978203654289246
11,0.5325656533241272,0.47857141494750977,0.6912091374397278,0.49295663833618164,0.5282654762268066,0.6960222721099854
12,0.5367605090141296,0.478532612323761,0.6902774572372437,0.49594947695732117,0.5282654762268066,0.6997998952865601
13,0.5403620004653931,0.4791052043437958,0.6895523071289062,0.4964914321899414,0.5282654762268066,0.7024437189102173
14,0.5437837243080139,0.48053184151649475,0.6889235973358154,0.5009872317314148,0.5301966071128845,0.7009113430976868
15,0.5477378964424133,0.48178377747535706,0.688264012336731,0.49979108572006226,0.527563214302063,0.7134652137756348
16,0.5502113103866577,0.4833754003047943,0.6877418756484985,0.5024312734603882,0.5284410119056702,0.7076266407966614
17,0.5530222654342651,0.4849669933319092,0.6871708035469055,0.5028789639472961,0.5291432738304138,0.6981655359268188
18,0.5556721687316895,0.4874514639377594,0.6865994930267334,0.49873194098472595,0.5328300595283508,0.7074219584465027
19,0.5585306882858276,0.48947980999946594,0.6859695911407471,0.49956753849983215,0.5159761309623718,0.7265961766242981
20,0.5612914562225342,0.4921972155570984,0.6853423714637756,0.5025343298912048,0.5256320238113403,0.717932939529419
21,0.5641387104988098,0.4950989782810211,0.6847422122955322,0.5007638335227966,0.5214185118675232,0.7188443541526794
22,0.5674514174461365,0.49798136949539185,0.684064507484436,0.5035825967788696,0.5222963690757751,0.716835081577301
23,0.5700615644454956,0.5008734464645386,0.6834908723831177,0.5042546391487122,0.5231741666793823,0.7156009674072266
24,0.5727938413619995,0.5031929612159729,0.6828691363334656,0.5028690099716187,0.522998571395874,0.7131900191307068
25,0.5759543776512146,0.505910336971283,0.6821668148040771,0.5035220980644226,0.5235252976417542,0.7169756889343262
26,0.5793799161911011,0.5089091658592224,0.6814541816711426,0.5056524276733398,0.533707857131958,0.7088502645492554
27,0.5825072526931763,0.512208878993988,0.6807112693786621,0.5073713064193726,0.5340589880943298,0.699623703956604
28,0.5859140157699585,0.5159161686897278,0.6799594759941101,0.5097365379333496,0.5319522619247437,0.6976618766784668
29,0.5888785719871521,0.5193710923194885,0.6792265772819519,0.5116148591041565,0.5323033928871155,0.6956943869590759
30,0.5920290350914001,0.5227872729301453,0.6784461736679077,0.5122969746589661,0.5317766666412354,0.6948203444480896
31,0.5950853228569031,0.5265139937400818,0.6776788234710693,0.5113310217857361,0.5317766666412354,0.6955231428146362
32,0.5984605550765991,0.5300271511077881,0.6768916845321655,0.5115614533424377,0.5314255356788635,0.6961410045623779
33,0.6015135645866394,0.532861053943634,0.6761346459388733,0.5095398426055908,0.5296699404716492,0.6945562362670898
34,0.6047229766845703,0.5358986854553223,0.6753586530685425,0.5078156590461731,0.5286165475845337,0.6941021084785461
35,0.6077496409416199,0.5389460325241089,0.6746103763580322,0.5014316439628601,0.5279143452644348,0.6935232877731323
36,0.6111561059951782,0.5428571701049805,0.6737756729125977,0.5014495253562927,0.5284410119056702,0.6933180689811707
37,0.6145176887512207,0.5461859703063965,0.6729543805122375,0.5011529326438904,0.5286165475845337,0.6933847665786743
38,0.6178058981895447,0.5498641133308411,0.6721131801605225,0.4957982897758484,0.5286165475845337,0.6937285661697388
39,0.6211270093917847,0.5526300668716431,0.6712760925292969,0.49403563141822815,0.5286165475845337,0.6936214566230774
40,0.6245125532150269,0.5557647347450256,0.6704167723655701,0.49268385767936707,0.5293188095092773,0.6940402388572693
41,0.6277763247489929,0.5592391490936279,0.6695486903190613,0.4910392165184021,0.5298454761505127,0.6959319114685059
42,0.6309977769851685,0.5628494024276733,0.6686891317367554,0.4864788055419922,0.5258075594902039,0.7002836465835571
43,0.6342832446098328,0.5674204230308533,0.6677884459495544,0.48527926206588745,0.527563214302063,0.701096773147583
44,0.6375967264175415,0.5714771151542664,0.6668491363525391,0.48458269238471985,0.5231741666793823,0.7086766362190247
45,0.6410540342330933,0.5750873684883118,0.6659042239189148,0.484633207321167,0.5152738690376282,0.7164351940155029
46,0.6444135308265686,0.579211950302124,0.6649423837661743,0.4843929708003998,0.5001755356788635,0.7316256761550903
47,0.6478350162506104,0.5834141969680786,0.6639786958694458,0.4845852553844452,0.49227526783943176,0.7483494877815247
48,0.6511801481246948,0.5869079828262329,0.6630163192749023,0.48330456018447876,0.4845505654811859,0.7587648630142212
49,0.654755711555481,0.5908676385879517,0.6619912981987,0.48186400532722473,0.4747191071510315,0.7885161638259888
50,0.658264696598053,0.5947399139404297,0.6609841585159302,0.48047104477882385,0.47524577379226685,0.807658851146698
